_Threshold,BMDseg[mg/cc],BV/TV[1],gDSM-BS/BV[1/mm],gDSM-Tb.N[1/mm],DT-Tb.Th[mm],DT-Tb.Sp[mm],MIL.Avg[mm],File,DT-Tb.Sp.SD,DT-Tb.Th.SD,DT-wTb.Sp.SD,DT-wTb.Sp[mm],DT-wTb.Th.SD,DT-wTb.Th[mm],gDSM-Tb.Sp[mm],gDSM-Tb.Th[mm],,,,,,,,,,,,,,,
124,225,476,0,221173,4,50601,0,498303,0,506896,1,5494,0,898511,BA01_120_1Slices.xml,0,925778,0,288514,0,949054,1,55843,0,105423,0,112344,1,56296,0,443852
124,219,373,0,225537,5,26152,0,593335,0,444316,1,3095,0,766957,BA01_120_2Slices.xml,0,480437,0,280935,0,494705,1,344,0,988259,0,967374,1,30527,0,380118
124,223,104,0,221872,5,251,0,554959,0,471476,1,15198,0,806468,BA01_120_3Slices.xml,0,572663,0,289014,0,586596,1,15563,0,103672,0,104139,1,40214,0,3998
124,195,749,0,275709,5,48871,0,756643,0,355044,0,823949,0,732881,BA02_120_1Slices.xml,0,409713,0,217265,0,445959,0,839054,0,564111,0,642241,0,957243,0,364385
124,195,754,0,277738,5,80528,0,806172,0,321124,0,757259,0,693226,BA02_120_2Slices.xml,0,390727,0,199458,0,423741,0,7715,0,516282,0,576362,0,895916,0,344514
124,195,219,0,276896,6,1625,0,832938,0,298224,0,727546,0,669695,BA02_120_3Slices.xml,0,388397,0,172714,0,419775,0,740754,0,4469,0,528523,0,868136,0,332433
124,206,271,0,244029,5,83194,0,71158,0,351107,0,946651,0,691248,BA03_120_3Slices.xml,0,610507,0,244175,0,641701,0,957634,0,853415,0,719538,1,6238,0,342939
124,207,464,0,239706,6,4709,0,724762,0,339704,0,81982,0,666705,BA04_120_2Slices.xml,0,391876,0,2264,0,408955,0,825087,0,806593,0,69646,1,4903,0,330738
124,190,968,0,233896,5,68755,0,665148,0,371106,0,965127,0,708118,BA04_120_3Slices.xml,0,495787,0,239673,0,552703,0,973543,0,697478,0,679508,1,15178,0,351645
124,196,272,0,24879,5,46675,0,680035,0,378222,0,942242,0,736712,BA05_120_1Slices.xml,0,479583,0,242957,0,520661,0,951549,0,680844,0,70338,1,10466,0,365848
124,206,802,0,255264,5,35196,0,68308,0,391994,0,943393,0,752237,BA05_120_2Slices.xml,0,492414,0,254301,0,519614,0,955407,0,789746,0,781355,1,9026,0,373695
124,203,716,0,251368,5,3176,0,668337,0,394034,0,971188,0,757852,BA05_120_3Slices.xml,0,502713,0,25617,0,534805,0,982414,0,76505,0,769074,1,12014,0,376109
124,218,691,0,234479,4,71431,0,552703,0,478993,1,19848,0,858424,BA06_120_1Slices.xml,0,541469,0,278266,0,565841,1,20739,0,967248,0,102349,1,38505,0,42424
124,216,97,0,225562,5,18164,0,58439,0,443448,1,6736,0,779807,BA06_120_3Slices.xml,0,482583,0,272276,0,502235,1,7157,0,952728,0,951487,1,32521,0,385978
124,211,808,0,244349,5,19704,0,634946,0,412341,1,3961,0,775477,BA07_120_2Slices.xml,0,550611,0,248729,0,579996,1,5087,0,810452,0,843519,1,1901,0,384834
124,206,517,0,253704,5,58128,0,707995,0,370176,0,882067,0,721759,BA07_120_3Slices.xml,0,450449,0,234377,0,472941,0,89101,0,701558,0,724439,1,541,0,358341
124,199,519,0,267169,5,91505,0,790159,0,315989,0,75953,0,680339,BA08_120_1Slices.xml,0,371735,0,189176,0,398541,0,770221,0,538332,0,586142,0,927447,0,338121
124,205,531,0,256088,5,67018,0,726031,0,354658,0,840831,0,70989,BA08_120_3Slices.xml,0,401752,0,223461,0,427011,0,850771,0,691483,0,696504,1,2463,0,352723
124,207,414,0,245096,5,59496,0,685651,0,392173,0,905347,0,719673,BA09_120_1Slices.xml,0,461571,0,288632,0,488971,0,915079,0,994196,0,817576,1,101,0,357465
124,206,711,0,248612,5,60693,0,696976,0,386576,0,887455,0,718227,BA09_120_3Slices.xml,0,451615,0,282643,0,478502,0,89745,0,96417,0,797137,1,7807,0,356701
124,194,747,0,243491,5,32966,0,648863,0,39491,1,174,0,754193,BA10_120_1Slices.xml,0,518114,0,251573,0,568161,1,2697,0,712632,0,733519,1,1659,0,375258
124,205,408,0,254212,5,85013,0,743588,0,342182,0,824515,0,690604,BA11_120_4Slices.xml,0,436811,0,232264,0,458025,0,83309,0,75688,0,679739,1,296,0,341873
124,204,211,0,260365,5,47821,0,713166,0,376363,0,867432,0,734231,BA12_120_1Slices.xml,0,419999,0,251787,0,44648,0,878919,0,768682,0,737905,1,3712,0,365083
124,203,498,0,264231,5,35315,0,707234,0,386809,0,87355,0,751499,BA12_120_2Slices.xml,0,421049,0,252236,0,449589,0,886202,0,728579,0,749136,1,4035,0,373612
124,203,27,0,260792,5,54264,0,722737,0,360148,0,853695,0,726541,BA12_120_3Slices.xml,0,411088,0,230728,0,438331,0,865167,0,697145,0,698575,1,2279,0,360839
124,215,74,0,235651,5,42383,0,639065,0,406325,0,951655,0,742246,BA13_120_1Slices.xml,0,449823,0,251449,0,471015,0,958174,0,834317,0,851978,1,19604,0,368743
